chr	start	end	strand	tpm	interquantileWidth	iq_10	iq_90
chr2	26646701	26646701	+	1071.5486106	4	26646575	26646734
chr2	26809227	26809227	+	6.56009461	37	26809185	26809227
chr2	27148523	27148523	+	25.33822616	33	27148437	27148575
chr2	29561215	29561215	+	7.26060455	26	29561214	29561240
chr2	31524482	31524482	+	19.78001108	57	31524407	31524576
chr2	31737584	31737584	+	14.04780631	15	31737567	31737587
chr2	32073960	32073960	-	17.5499261	45	32073899	32073988
chr2	32389644	32389644	-	210.82502783	35	32389599	32389731
chr2	32759028	32759028	+	6.00257129	1	32759027	32759028
chr2	33175205	33175205	+	11.15568917	35	33175176	33175241
chr2	33644823	33644823	+	52.84490728	47	33644773	33644947
chr2	35575061	35575061	+	60.01048013	22	35575017	35575120
chr2	36329932	36329932	+	11.80214023	33	36329922	36330029
chr2	37405450	37405450	-	36.77528016	34	37405308	37405486
chr2	37575640	37575640	+	10.83035081	33	37575596	37575729
chr2	37742630	37742630	+	18.52002859	30	37742577	37742670
chr2	37820299	37820299	-	91.97625907	47	37820189	37820348
chr2	37909020	37909020	-	14.46288139	20	37908659	37909094
chr2	40955566	40955566	-	15.38391502	29	40955515	40955592
chr2	41589288	41589288	+	20.45003707	50	41589240	41589309
chr2	43913391	43913391	-	35.5431787	29	43913387	43913478
chr2	44316952	44316952	-	39.9816854	56	44316951	44317039
chr2	48413101	48413101	-	15.78927735	5	48413031	48413136
chr2	49410768	49410768	-	6.80175464	22	49410765	49410789
chr2	50696537	50696537	-	22.42706797	49	50696434	50696559
chr2	51328244	51328244	+	9.60339217	15	51328199	51328318
chr2	51428577	51428577	+	7.00856465	28	51428547	51428619
chr2	52330988	52330988	+	8.32536211	53	52330977	52331040
chr2	52760383	52760383	-	35.9692327	24	52760297	52760489
chr2	57557523	57557523	+	84.49850093	4	57557499	57557561
chr2	57737936	57737936	+	50.06349072	44	57737812	57738163
chr2	57919045	57919045	-	26.37426732	37	57919009	57919088
chr2	58719253	58719253	-	5.19844133	4	58719251	58719263
chr2	59583000	59583000	+	41.54917214	12	59582916	59583028
chr3	125588	125588	-	87.69070429	17	125499	125628
chr3	734012	734012	-	25.1087408	23	734002	734067
chr3	1996961	1996961	+	29.30151266	57	1996926	1997071
chr3	2234201	2234201	+	69.92038382	20	2234170	2234234
chr3	7175473	7175473	+	5.96886897	21	7175452	7175473
chr3	10231932	10231932	-	17.63307574	44	10231773	10231955
chr3	10811379	10811379	-	14.00927467	56	10811315	10811417
chr3	11800281	11800281	+	32.26186393	19	11800168	11800333
chr3	15239923	15239923	-	9.1034765	53	15239887	15239960
chr3	15659583	15659583	-	12.55490577	35	15659534	15659598
chr3	15729844	15729844	-	66.32286727	58	15729801	15729919
chr3	16749250	16749250	+	22.5773553	35	16749183	16749274
chr3	19234760	19234760	-	5.68737644	8	19234730	19234762
chr3	21153262	21153262	-	21.75072942	51	21153216	21153301
chr3	22425815	22425815	-	8.00806572	13	22425812	22425825
chr3	23145926	23145926	+	11.50211383	33	23145890	23145950
chr3	23275349	23275349	+	90.46894645	35	23275283	23275443
chr3	23698883	23698883	-	5.72118378	19	23698866	23698894
chr3	23865914	23865914	-	10.04712581	35	23865879	23866056
chr3	25373959	25373959	-	5.5720169	59	25373847	25373960
chr3	25374937	25374937	-	6.88585821	32	25374911	25374961
chr3	25522427	25522427	-	32.86934236	18	25522371	25522708
chr3	26211820	26211820	+	18.94212835	22	26211799	26211903
chr3	26791155	26791155	+	33.3799246	49	26791153	26791229
chr3	26887684	26887684	-	10.58782102	8	26887676	26887684
chr3	27798957	27798957	-	217.02271185	10	27798935	27799023
chr3	28816420	28816420	-	11.4522516	28	28816409	28816456
chr3	31209583	31209583	+	6.04940169	28	31209572	31209610
chr3	31799219	31799219	+	20.24100556	50	31799107	31799251
chr3	31854272	31854272	+	118.06773099	24	31854234	31854367
chr3	32955512	32955512	-	1311.97693722	3	32955480	32955628
chr3	34205575	34205575	+	33.52951638	29	34205443	34205608
chr3	36519325	36519325	-	35.99014257	35	36519300	36519413
chr3	36588579	36588579	+	12.88774277	24	36588539	36588605
chr3	36750308	36750308	+	18.08952523	59	36750234	36750422
chr3	37785185	37785185	+	10.75539006	34	37785116	37785349
chr3	38687672	38687672	-	6.08706458	25	38687655	38687695
chr3	42655014	42655014	+	16.37067702	19	42654936	42655053
chr3	43696598	43696598	-	23.46926965	45	43696538	43696667
chr3	45403209	45403209	+	79.94715507	29	45403070	45403267
chr3	47487523	47487523	+	9.47007947	20	47487507	47487590
chr3	48316313	48316313	-	7.40907718	39	48316242	48316388
chr3	49418676	49418676	-	5.8284211	10	49418665	49418679
chr3	50799962	50799962	-	24.35953316	20	50799934	50799986
chr3	53990471	53990471	+	14.98430331	28	53990391	53990473
chr3	55999416	55999416	-	397.60225773	3	55999324	55999451
chr3	61284649	61284649	+	9.69624518	34	61284635	61284727
chr3	62123532	62123532	+	12.65990383	47	62123467	62123613
chr3	63042410	63042410	-	16.78363681	30	63042393	63042430
chr4	1543402	1543402	-	64.54604524	63	1543327	1543489
chr4	1645138	1645138	-	53.67371964	48	1644985	1645199
chr4	1685462	1685462	-	22.70905972	22	1685437	1685462
chr4	5006077	5006077	+	6.6877588	21	5006056	5006077
chr4	5214853	5214853	+	26.80117514	32	5214791	5214904
chr4	5721500	5721500	+	6.05265861	18	5721477	5721531
chr4	6222511	6222511	+	13.50500026	31	6222483	6222514
chr4	8125626	8125626	-	33.24573194	35	8125552	8125709
chr4	8267019	8267019	-	28.87187841	58	8266800	8267034
chr4	9663602	9663602	-	5.58588031	13	9663601	9663620
chr4	10760515	10760515	+	16.93803947	13	10760492	10760544
chr4	11782876	11782876	-	10.43439834	28	11782863	11782891
chr4	13060324	13060324	-	14.79453603	28	13060295	13060332
chr4	14671222	14671222	+	32.06995182	17	14671192	14671231
chr4	15794131	15794131	+	65.25375176	4	15794086	15794161
chr4	17269912	17269912	-	12.1785951	29	17269908	17269949
chr4	22809653	22809653	-	13.21617296	41	22809612	22809653
chr4	24765246	24765246	+	17.2091181	5	24765243	24765248
chr4	24883962	24883962	-	60.17932498	34	24883845	24883995
chr4	26395634	26395634	-	19.56059426	49	26395518	26395662
chr4	27645784	27645784	-	17.040032	35	27645744	27645832
chr4	59480097	59480097	-	59.88764218	50	59479801	59480168
chr5	816616	816616	+	8.90921131	26	816587	816616
chr5	1224769	1224769	+	5.34947698	6	1224760	1224769
chr5	4306068	4306068	+	48.33594063	22	4305976	4306149
chr5	4373726	4373726	+	31.69711057	1	4373721	4373746
chr5	5211684	5211684	-	37.42680998	34	5211583	5211714
chr5	7162923	7162923	-	13.13866237	24	7162890	7162967
chr5	9540985	9540985	+	17.40852298	5	9540984	9540994
chr5	12897831	12897831	-	6.49592706	56	12897729	12897883
chr5	13317826	13317826	-	44.34246881	5	13317823	13317860
chr5	13789201	13789201	-	15.30058548	14	13789133	13789247
chr5	14409059	14409059	-	11.09436773	25	14409004	14409076
chr5	14851934	14851934	-	13.827775	21	14851920	14851956
chr5	16352191	16352191	-	23.08145497	16	16352137	16352231
chr5	17722691	17722691	-	589.01798597	2	17722428	17722790
chr5	19403015	19403015	+	58.99717504	46	19402933	19403038
chr5	20746547	20746547	-	38.76392887	35	20746371	20746595
chr5	21277382	21277382	-	5.02971833	35	21277286	21277382
chr5	22705083	22705083	-	13.3066697	17	22705023	22705188
chr5	25716231	25716231	+	6.74967981	37	25716184	25716385
chr5	25822992	25822992	-	19.02992362	30	25822941	25823015
chr5	25914176	25914176	-	23.31571074	36	25913956	25914223
chr5	29074421	29074421	+	227.99712404	4	29074412	29074585
chr5	30145164	30145164	+	12.39858174	27	30145135	30145173
chr5	31353279	31353279	+	24.40590989	24	31353237	31353417
chr5	31432571	31432571	+	20.31490972	4	31432523	31432592
chr5	31469765	31469765	+	30.20999676	47	31469703	31469983
chr5	32057442	32057442	-	6.90132001	17	32057374	32057534
chr5	33539102	33539102	-	55.03131773	40	33539048	33539122
chr5	33828519	33828519	+	7.40174909	4	33828515	33828519
chr5	34905484	34905484	-	61.02842681	19	34905401	34905534
chr5	36167357	36167357	+	106.02118319	50	36167217	36167772
chr5	38549660	38549660	-	476.71131461	31	38549600	38549705
chr5	38847817	38847817	-	21.22817484	23	38847814	38847855
chr5	39855961	39855961	-	11.68127918	57	39855777	39856034
chr5	40699474	40699474	+	36.79381285	40	40699324	40699537
chr5	44569465	44569465	-	27.85196098	39	44569342	44569557
chr5	44625007	44625007	+	43.16332442	5	44624957	44625007
chr5	45553558	45553558	-	35.58410668	55	45553517	45553579
chr5	47888728	47888728	+	8.08150574	50	47888699	47888749
chr5	55211782	55211782	-	8.32468064	35	55211781	55211816
chr5	55793637	55793637	-	9.48852819	30	55793568	55793687
chr5	59075041	59075041	+	6.4375845	39	59074990	59075041
chr5	62753909	62753909	+	7.38112903	24	62753881	62753909
chr5	62946853	62946853	-	8.89417855	48	62946816	62946864
chr5	64861723	64861723	+	215.83972001	22	64861633	64861851
chr5	64923983	64923983	+	94.47622353	26	64923937	64924048
chr5	66504910	66504910	+	10.48979978	16	66504823	66504972
chr5	68956815	68956815	+	16.41085575	13	68956739	68957025
chr5	69428450	69428450	+	67.10960003	50	69428359	69428497
chr5	70801148	70801148	+	39.78015526	31	70801068	70801175
chr5	72276257	72276257	-	6.73611611	9	72276242	72276267
chr5	72562584	72562584	+	16.477912	10	72562576	72562588
chr5	73159766	73159766	-	11.1823923	3	73159761	73159766
chr5	74986818	74986818	+	29.11845102	35	74986735	74986951
chr6	222559	222559	+	6.5563522	48	222555	222603
chr6	2675595	2675595	+	14.67272869	36	2675567	2675604
chr6	3522633	3522633	+	7.69169229	2	3522632	3522642
chr6	4767822	4767822	+	12.28598096	3	4767818	4767833
chr6	8019034	8019034	+	40.26782134	63	8018909	8019260
chr6	8161166	8161166	+	32.81312912	50	8161162	8161221
chr6	8688695	8688695	-	25.36128928	22	8688671	8688726
chr6	9197713	9197713	-	23.07900098	44	9197673	9197794
chr6	10110832	10110832	-	9.37937879	21	10110809	10110835
chr6	11002377	11002377	-	9.24699481	38	11002347	11002433
chr6	12898783	12898783	+	13.28489421	8	12898742	12898804
chr6	12957793	12957793	+	7.06432134	54	12957764	12957839
chr6	13110568	13110568	-	16.32045279	60	13110513	13110589
chr6	13950755	13950755	-	161.36724867	3	13950686	13950814
chr6	15553321	15553321	-	30.19400357	1	15553320	15553322
chr6	19023761	19023761	+	29.28928882	24	19023714	19023783
chr6	19491756	19491756	-	6.47159102	23	19491640	19491834
chr6	19659554	19659554	+	22.58393815	56	19659490	19659586
chr6	23672644	23672644	-	26.76715479	38	23672607	23672704
chr6	27604882	27604882	+	28.33257623	51	27604799	27604942
chr6	29827563	29827563	+	8.73676699	23	29827534	29827691
chr6	31779279	31779279	-	23.86866222	37	31779174	31779332
chr6	33234912	33234912	+	21.74522272	10	33234855	33234944
chr6	33629307	33629307	-	20.84880315	35	33629198	33629332
chr6	37692778	37692778	-	14.24403149	12	37692623	37692806
chr6	39275032	39275032	-	22.02280659	4	39275014	39275035
chr6	39824366	39824366	-	84.80459302	5	39824327	39824414
chr6	40785179	40785179	-	9.71203529	50	40785128	40785216
chr6	41394644	41394644	+	16.64802852	42	41394606	41394706
chr6	42319949	42319949	-	135.69251103	37	42319941	42320035
chr6	42598380	42598380	+	22.77189925	35	42598330	42598408
chr6	42750645	42750645	+	8.55023707	46	42750636	42750682
chr6	43165757	43165757	+	13.47585348	59	43165680	43165870
chr6	43202341	43202341	-	5.33810625	20	43202292	43202349
chr6	44748883	44748883	+	8.43022677	48	44748874	44748930
chr6	45871892	45871892	+	22.89652599	50	45871863	45871935
chr6	49457930	49457930	-	343.09071941	3	49457873	49457951
chr6	49625068	49625068	-	24.05728087	47	49625051	49625113
chr6	51524803	51524803	-	25.82034977	41	51524606	51524819
chr6	51616999	51616999	-	6.61533498	59	51616901	51617001
chr6	54142795	54142795	+	19.33175659	35	54142759	54142827
chr6	56119344	56119344	+	45.86346131	4	56119317	56119347
chr6	59789014	59789014	+	38.47524128	23	59788996	59789174
chr7	729293	729293	+	70.62754326	52	729210	729471
chr7	2663362	2663362	-	167.72989826	5	2663351	2663365
chr7	6800954	6800954	+	246.28331592	7	6800919	6801051
chr7	7289651	7289651	-	217.90025551	1	7289618	7289655
chr7	9518712	9518712	-	118.48715663	41	9518566	9518802
chr7	13733483	13733483	-	11.09208479	5	13733479	13733485
chr7	14780732	14780732	-	8.10794785	61	14780731	14780823
chr7	15258731	15258731	-	36.33093318	23	15258693	15258738
chr7	17280332	17280332	+	32.98080085	19	17280274	17280424
chr7	21156745	21156745	-	27.88895545	23	21156629	21156802
chr7	23799829	23799829	-	16.99709201	48	23799775	23799923
chr7	25189370	25189370	-	7.25261477	62	25189368	25189431
chr7	25372150	25372150	+	66.59526905	34	25372097	25372252
chr7	25403373	25403373	-	41.23726831	42	25403328	25403376
chr7	25661391	25661391	+	12.17003361	8	25661316	25661560
chr7	26302872	26302872	+	53.64140797	28	26302829	26302891
chr7	26864627	26864627	-	16.72456495	10	26864621	26864640
chr7	27515790	27515790	-	24.50133835	6	27515734	27515791
chr7	27592714	27592714	+	46.35222311	20	27592688	27592817
chr7	31288885	31288885	+	14.84558075	36	31288851	31288894
chr7	31577623	31577623	+	51.26576925	35	31577512	31577714
chr7	32116032	32116032	-	18.4100646	23	32115995	32116109
chr7	33355340	33355340	-	22.51499128	32	33355299	33355404
chr7	35608716	35608716	-	13.59862539	2	35608707	35608719
chr7	36769005	36769005	-	77.41523021	37	36768969	36769070
chr7	39787306	39787306	+	6.81154599	39	39787280	39787333
chr7	39963015	39963015	-	187.93723492	37	39962913	39963102
chr7	40072146	40072146	+	113.11804076	14	40072051	40072285
chr7	42048806	42048806	-	7.99455227	39	42048740	42048863
chr7	45692824	45692824	-	38.23316662	22	45692773	45692943
chr7	46455580	46455580	+	25.51743195	20	46455501	46455587
chr7	48746622	48746622	+	38.19306613	23	48746605	48746630
chr7	50262522	50262522	+	18.82514561	43	50262520	50262576
chr7	51172738	51172738	+	25.35808693	2	51172736	51172751
chr7	51358475	51358475	+	17.25912416	9	51358470	51358538
chr7	54167929	54167929	+	15.3549451	12	54167898	54167958
chr7	55225578	55225578	+	25.45702472	2	55225572	55225579
chr7	55569471	55569471	-	90.55892601	64	55569383	55569528
chr7	58098527	58098527	-	5.52424616	6	58098520	58098584
chr7	58372531	58372531	+	13.93066371	22	58372476	58372547
chr7	60153069	60153069	+	22.09609231	33	60153012	60153123
chr7	65850316	65850316	+	6.96120389	45	65850307	65850371
chr7	70178332	70178332	+	6.71217243	24	70178307	70178332
chr7	70336958	70336958	-	6.81177348	42	70336887	70336997
chr7	70340137	70340137	+	136.81553349	34	70340104	70340348
chr7	73888519	73888519	-	7.08168872	40	73888501	73888624
chr7	74539170	74539170	+	6.65951719	47	74539160	74539216
chr7	75222987	75222987	+	61.43711674	20	75222895	75223026
chr7	75274123	75274123	+	24.40215546	42	75274073	75274126
chr7	76754759	76754759	-	10.1159337	16	76754758	76754800
chr7	76820112	76820112	+	137.85087339	4	76820066	76820134
chr7	76852347	76852347	-	23.59382358	2	76852254	76852350
chr7	76853675	76853675	-	251.69641313	2	76853596	76853714
chr8	689869	689869	-	40.89953179	23	689820	689890
chr8	1434267	1434267	-	15.36666974	57	1434234	1434294
chr8	2681400	2681400	-	17.81704378	33	2681341	2681439
chr8	2831303	2831303	+	11.73305935	54	2831271	2831344
chr8	2935507	2935507	+	5.65193804	45	2935460	2935539
chr8	4568796	4568796	+	9.11174545	3	4568795	4568821
chr8	4906288	4906288	+	106.19288036	19	4906182	4906310
chr8	4997526	4997526	-	84.89698563	42	4997311	4997624
chr8	12505586	12505586	-	16.32806343	15	12505496	12505614
chr8	14058461	14058461	-	6.16446268	5	14058437	14058465
chr8	15699203	15699203	-	9.31114146	43	15699189	15699299
chr8	17196325	17196325	+	16.84669077	28	17196245	17196365
chr8	17217308	17217308	-	33.38988609	5	17217301	17217338
chr8	17598089	17598089	+	13.25444287	1	17598088	17598090
chr8	18294673	18294673	+	7.67872238	37	18294636	18294726
chr8	19064906	19064906	+	65.86818465	33	19064858	19065040
chr8	19355820	19355820	+	10.33373736	33	19355751	19355915
chr8	19805813	19805813	-	28.70101425	32	19805778	19805836
chr8	20159667	20159667	+	47.43341525	54	20159560	20159861
chr8	20212376	20212376	+	9.56197239	4	20212372	20212376
chr8	20976907	20976907	+	35.29027789	1	20976901	20976909
chr8	21891878	21891878	+	24.35697894	52	21891876	21891932
chr8	23819806	23819806	-	8.61007322	4	23819805	23819809
chr8	26614099	26614099	-	109.75032735	21	26613981	26614165
chr8	26699142	26699142	-	49.75207911	54	26699071	26699167
chr8	26860966	26860966	+	9.36121596	41	26860932	26861121
chr8	27182421	27182421	+	44.18229705	13	27182379	27182449
chr8	27249502	27249502	+	16.41757685	44	27249451	27249567
chr8	29127475	29127475	-	103.45246331	37	29127341	29127562
chr8	29195525	29195525	-	227.79910249	63	29195480	29195587
chr8	29225780	29225780	-	15.0552299	23	29225664	29225851
chr8	29240459	29240459	-	96.83418988	46	29240427	29240569
chr8	29243750	29243750	+	35.42011762	32	29243664	29243851
chr8	32283633	32283633	+	293.34632107	5	32283627	32283672
chr8	32454542	32454542	-	23.33137231	7	32454480	32454596
chr8	33202690	33202690	-	24.96613156	62	33202668	33202739
chr8	41775511	41775511	-	10.03210759	39	41775409	41775566
chr8	41937235	41937235	-	30.98658623	13	41937196	41937270
chr8	43318085	43318085	-	28.44622678	32	43318049	43318118
chr8	47909804	47909804	-	14.19577086	62	47909803	47909865
chr8	48475745	48475745	-	177.83129449	42	48475717	48475809
chr8	49308163	49308163	-	927.68458164	14	49307950	49308350
chr8	52644376	52644376	-	33.74348836	27	52644263	52644426
chr8	53857384	53857384	-	5.25472469	19	53857376	53857398
chr9	176220	176220	-	114.96467646	31	176199	176249
chr9	267569	267569	+	9.54968862	16	267551	267597
chr9	733591	733591	+	16.85076019	21	733587	733633
chr9	1448667	1448667	-	7.21270929	46	1448628	1448695
chr9	1493692	1493692	+	8.63228579	44	1493613	1493718
chr9	4032560	4032560	-	77.05539574	32	4032535	4032649
chr9	4162750	4162750	-	17.48419783	27	4162716	4162767
chr9	5362539	5362539	-	12.54228829	55	5362472	5362655
chr9	6702737	6702737	-	35.84338458	30	6702705	6702769
chr9	9168415	9168415	+	29.309014	4	9168411	9168423
chr9	11952705	11952705	-	107.82577958	29	11952558	11952816
chr9	12935320	12935320	-	14.03070962	20	12935254	12935402
chr9	13088094	13088094	-	28.23079113	16	13088059	13088098
chr9	13161444	13161444	-	9.70454515	26	13161355	13161469
chr9	13235998	13235998	+	26.74190062	24	13235967	13236004
chr9	18833580	18833580	+	74.4901522	16	18833517	18833610
chr9	19985547	19985547	+	31.61057044	14	19985482	19985574
chr9	23951702	23951702	-	26.49920985	27	23951666	23951805
chr9	24781719	24781719	+	17.91876959	39	24781684	24781751
chr9	25064164	25064164	-	15.65696145	10	25064136	25064189
chr9	29972518	29972518	-	66.68811091	33	29972363	29972545
chr9	31123964	31123964	+	115.18011406	3	31123962	31123976
chr9	31588990	31588990	-	115.0360324	51	31588865	31589115
chr9	32315452	32315452	+	37.44557082	62	32315439	32315534
chr9	33681963	33681963	-	43.94618955	55	33681878	33682038
chr9	33682412	33682412	+	16.62604068	24	33682370	33682433
chr9	33786841	33786841	-	38.17760132	4	33786800	33786841
chr9	38372176	38372176	+	5.04856001	20	38372175	38372195
chr9	38807178	38807178	+	28.67851631	14	38807117	38807228
chr9	40052688	40052688	-	26.44209036	34	40052612	40052696
chr9	41756756	41756756	-	10.75464201	54	41756720	41756814
chr9	42533047	42533047	+	16.21161381	26	42532990	42533154
chr9	43769453	43769453	-	100.48770425	49	43769387	43769540
chr9	43943113	43943113	-	8.06233578	33	43943080	43943113
chr9	43944245	43944245	-	6.87328795	60	43944185	43944245
chr9	49283995	49283995	-	16.1569708	19	49283897	49284009
chr9	56274833	56274833	+	144.17696846	55	56274815	56274914
chr9	57134747	57134747	-	16.24953045	53	57134539	57134821
chr9	57813073	57813073	-	11.31341859	33	57813019	57813099
chr9	57958899	57958899	-	142.02809118	23	57958863	57958942
chr10	1868446	1868446	+	20.71578095	11	1868429	1868454
chr10	3435088	3435088	-	189.12466218	61	3434830	3435144
chr10	4721515	4721515	+	33.29314637	31	4721446	4721549
chr10	5237758	5237758	+	23.42839636	4	5237744	5237814
chr10	5417645	5417645	+	23.06538525	20	5417606	5417663
chr10	6191355	6191355	+	92.5965741	15	6191253	6191647
chr10	6572417	6572417	+	16.46041535	42	6572368	6572425
chr10	8719518	8719518	+	10.43111901	4	8719514	8719558
chr10	10938691	10938691	+	5.81527694	51	10938626	10938752
chr10	11231203	11231203	+	86.85367807	54	11231103	11231215
chr10	11363473	11363473	-	5.50383424	18	11363416	11363512
chr10	13360518	13360518	-	12.65017004	29	13360483	13360569
chr10	15368961	15368961	-	13.69602274	28	15368858	15369036
chr10	15483469	15483469	+	39.40895838	46	15483416	15483500
chr10	16056583	16056583	-	52.43476163	46	16056480	16056654
chr10	16980955	16980955	+	97.60828161	51	16980920	16981015
chr10	20139948	20139948	-	162.92232611	21	20139825	20139955
chr10	21135240	21135240	-	7.86526786	3	21135227	21135273
chr10	25190793	25190793	-	60.97081266	31	25190745	25190890
chr10	27579920	27579920	+	27.49006891	26	27579853	27579996
chr10	27632812	27632812	-	31.45842426	9	27632760	27632817
chr10	30659782	30659782	-	6.86186252	36	30659763	30659816
chr10	30724246	30724246	-	38.15946202	3	30724243	30724246
chr10	33013495	33013495	+	46.82793086	51	33013470	33013788
chr10	33835073	33835073	-	21.7494354	24	33835059	33835164
chr10	34111590	34111590	-	47.80862004	25	34111563	34111646
chr10	36026220	36026220	+	28.76991147	16	36026187	36026235
chr10	36311579	36311579	+	5.65370865	5	36311578	36311583
chr10	37272596	37272596	+	29.78914005	12	37272565	37272691
chr10	37906767	37906767	+	46.97915415	3	37906711	37906772
chr10	40115933	40115933	+	6.18135024	64	40115867	40115933
chr10	40604559	40604559	-	316.33549927	19	40604486	40604596
chr10	41257425	41257425	+	28.09279533	56	41257325	41257458
chr10	43452390	43452390	-	45.69656052	52	43452306	43452413
chr10	43739896	43739896	+	32.43882826	5	43739875	43739905
chr10	43884850	43884850	-	54.93905869	34	43884818	43884931
chr10	44667355	44667355	+	27.70446963	23	44667335	44667364
chr10	45164056	45164056	-	62.05957461	32	45163930	45164110
chr10	45299293	45299293	+	37.81371005	45	45299246	45299293
chr10	46574607	46574607	-	18.84858884	3	46574568	46574682
chr11	484462	484462	-	155.7564763	23	484371	484503
chr11	1516875	1516875	+	101.61814881	28	1516825	1517049
chr11	2628862	2628862	+	50.39245743	42	2628784	2628967
chr11	3324016	3324016	-	15.33506402	53	3324010	3324068
chr11	4088388	4088388	+	23.47577068	5	4088358	4088406
chr11	6241119	6241119	-	57.51833515	48	6241080	6241224
chr11	6329932	6329932	+	40.01685853	14	6329882	6329953
chr11	6950897	6950897	-	115.32548468	33	6950834	6950959
chr11	7116810	7116810	-	26.22785861	5	7116809	7116816
chr11	7378516	7378516	+	13.15990442	43	7378455	7378569
chr11	7385649	7385649	-	21.0673563	2	7385645	7385676
chr11	12860037	12860037	-	46.02259423	22	12860004	12860061
chr11	13312469	13312469	-	12.87925579	3	13312460	13312488
