chr	start	end	width	strand	length	CpGcount	GCcontent	pctGC	obsExp
chr3	15239655	15239879	225	*	225	21	117	0.52	1.418
chr3	15729227	15729926	700	*	700	47	340	0.486	1.142
chr3	16749280	16749685	406	*	406	24	191	0.47	1.07
chr3	22425653	22425789	137	*	137	13	66	0.482	1.649
chr3	22425671	22425770	100	*	100	8	46	0.46	1.515
chr3	23145816	23145921	106	*	106	12	60	0.566	1.415
chr3	23146066	23146605	540	*	540	31	249	0.461	1.081
chr3	23275265	23275738	474	*	474	39	266	0.561	1.046
chr3	23698325	23698580	256	*	256	16	124	0.484	1.07
chr3	25521580	25522540	961	*	961	92	564	0.587	1.152
chr3	26790571	26790801	231	*	231	18	106	0.459	1.489
chr3	26790571	26790781	211	*	211	17	95	0.45	1.598
chr3	31209205	31209320	116	*	116	8	61	0.526	1
chr3	31209483	31209656	174	*	174	14	88	0.506	1.359
chr3	31854345	31854747	403	*	403	34	198	0.491	1.399
chr3	42655275	42655388	114	*	114	11	47	0.412	2.297
chr3	45403317	45403670	354	*	354	29	177	0.5	1.32
chr3	47487381	47487580	200	*	200	9	80	0.4	1.128
chr3	53990492	53990735	244	*	244	18	117	0.48	1.286
chr3	61284520	61285064	545	*	545	36	261	0.479	1.176
chr3	62123408	62123660	253	*	253	18	130	0.514	1.084
chr4	1542900	1543671	772	*	772	73	451	0.584	1.109
chr4	1644992	1645163	172	*	172	11	85	0.494	1.059
chr4	6222437	6222912	476	*	476	28	210	0.441	1.211
chr4	13060195	13060405	211	*	211	15	115	0.545	0.974
chr4	17269670	17269984	315	*	315	34	182	0.578	1.299
chr4	22809159	22809615	457	*	457	35	230	0.503	1.251
chr4	26395601	26395700	100	*	100	8	47	0.47	1.504
chr4	26395601	26395700	100	*	100	8	47	0.47	1.504
chr4	27646014	27646191	178	*	178	14	71	0.399	1.981
chr5	4305997	4306227	231	*	231	20	124	0.537	1.249
chr5	5211298	5211582	285	*	285	23	164	0.575	0.977
chr5	13317802	13317962	161	*	161	17	97	0.602	1.185
chr5	13317802	13317903	102	*	102	15	66	0.647	1.471
chr5	14409007	14409144	138	*	138	13	72	0.522	1.384
chr5	14409008	14409200	193	*	193	16	97	0.503	1.32
chr5	14850949	14852093	1145	*	1145	107	701	0.612	1.03
chr5	14850957	14851500	544	*	1113	106	692	0.622	1.02
chr5	16351513	16351954	442	*	442	32	203	0.459	1.388
chr5	17721737	17722294	558	*	558	46	292	0.523	1.209
chr5	19403026	19403213	188	*	188	19	101	0.537	1.412
chr5	19403412	19403644	233	*	233	17	110	0.472	1.331
chr5	21277386	21277583	198	*	198	16	97	0.49	1.38
chr5	25716236	25716391	156	*	156	12	77	0.494	1.263
chr5	25716661	25716794	134	*	134	10	70	0.522	1.094
chr5	25913834	25914556	723	*	723	43	310	0.429	1.298
chr5	29074416	29074737	322	*	322	30	167	0.519	1.4
chr5	31432885	31433016	132	*	132	8	56	0.424	1.363
chr5	31470009	31470188	180	*	180	12	75	0.417	1.543
chr5	32057587	32057714	128	*	128	8	61	0.477	1.153
chr5	32057919	32058063	145	*	145	12	78	0.538	1.145
chr5	36167286	36167566	281	*	281	21	154	0.548	1.024
chr5	38549155	38549438	284	*	284	21	137	0.482	1.286
chr5	38847447	38847708	262	*	262	27	157	0.599	1.148
chr5	39855444	39855819	376	*	376	37	212	0.564	1.244
chr5	40699484	40700075	592	*	592	51	326	0.551	1.137
chr5	44569341	44569431	91	*	91	6	37	0.407	1.75
chr5	45553436	45553586	151	*	151	17	88	0.583	1.36
chr5	59075349	59075839	491	*	491	31	246	0.501	1.006
chr5	62946087	62946898	812	*	812	69	445	0.548	1.14
chr5	70801392	70801547	156	*	156	12	73	0.468	1.427
chr6	2675344	2675695	352	*	352	32	188	0.534	1.275
chr6	3522512	3522683	172	*	172	12	88	0.512	1.075
chr6	3522873	3523322	450	*	450	41	259	0.576	1.103
chr6	4767637	4768161	525	*	525	38	276	0.526	1.048
chr6	8018889	8019061	173	*	173	16	95	0.549	1.258
chr6	8018889	8019052	164	*	164	15	89	0.543	1.262
chr6	8161113	8161410	298	*	298	19	138	0.463	1.193
chr6	13949940	13950509	570	*	570	35	253	0.444	1.268
chr6	33234817	33234900	84	*	84	6	48	0.571	0.877
chr6	33235129	33235209	81	*	81	5	32	0.395	1.582
chr6	33629258	33629414	157	*	157	13	72	0.459	1.575
chr6	37692564	37692795	232	*	232	15	109	0.47	1.189
chr6	40785441	40785566	126	*	126	10	56	0.444	1.626
chr6	42319985	42320093	109	*	109	11	61	0.56	1.298
chr6	42598082	42598395	314	*	314	20	129	0.411	1.579
chr6	42750681	42750830	150	*	150	11	67	0.447	1.473
chr6	51524628	51525022	395	*	395	28	191	0.484	1.214
chr6	51616628	51616904	277	*	277	29	162	0.585	1.227
chr6	54142572	54142962	391	*	391	25	158	0.404	1.566
chr6	56119227	56119669	443	*	443	27	219	0.494	0.999
chr6	59789095	59789216	122	*	122	10	63	0.516	1.268
chr7	6801036	6801304	269	*	269	21	159	0.591	0.895
chr7	9518511	9518777	267	*	267	19	133	0.498	1.15
chr7	15258350	15258915	566	*	566	49	302	0.534	1.234
chr7	21156087	21156315	229	*	229	16	108	0.472	1.272
chr7	21156438	21156632	195	*	195	13	78	0.4	1.667
chr7	23799321	23799418	98	*	98	9	47	0.48	1.598
chr7	23799348	23799418	71	*	71	8	38	0.535	1.573
chr7	23799594	23799901	308	*	308	23	152	0.494	1.232
chr7	23799598	23799904	307	*	307	23	152	0.495	1.228
chr7	25371768	25371935	168	*	168	13	76	0.452	1.529
chr7	25403133	25403307	175	*	175	16	84	0.48	1.602
chr7	25661340	25661561	222	*	222	21	119	0.536	1.321
chr7	27515290	27515782	493	*	493	42	272	0.552	1.12
chr7	32115849	32116076	228	*	228	15	108	0.474	1.176
chr7	33355279	33355406	128	*	128	12	63	0.492	1.552
chr7	39962262	39962855	594	*	594	39	270	0.455	1.273
chr7	45692775	45692890	116	*	116	10	70	0.603	0.954
chr7	45693273	45693407	135	*	135	11	67	0.496	1.338
chr7	46455527	46455880	354	*	354	31	203	0.573	1.067
chr7	48746938	48747092	155	*	155	13	69	0.445	1.722
chr7	50262617	50262763	147	*	147	11	64	0.435	1.684
chr7	51172571	51172903	333	*	333	30	187	0.562	1.144
chr7	51173071	51173287	217	*	217	28	142	0.654	1.205
chr7	55569177	55569397	221	*	221	20	113	0.511	1.387
chr7	58098580	58098871	292	*	292	30	163	0.558	1.32
chr7	65850358	65850640	283	*	283	16	121	0.428	1.238
chr7	70339533	70340171	639	*	639	65	355	0.556	1.324
chr7	73888195	73888323	129	*	129	11	57	0.442	1.792
chr7	74539169	74539355	187	*	187	15	98	0.524	1.169
chr7	74539491	74540132	642	*	642	48	287	0.447	1.51
chr7	75222955	75223134	180	*	180	11	82	0.456	1.178
chr7	75274323	75274523	201	*	201	17	113	0.562	1.077
chr7	76820119	76820496	378	*	378	29	221	0.585	0.904
chr7	76852004	76852544	541	*	541	36	281	0.519	0.988
chr7	76853321	76853556	236	*	236	23	138	0.585	1.146
chr8	689609	689960	352	*	352	17	158	0.449	0.966
chr8	2681194	2681529	336	*	336	24	142	0.423	1.6
chr8	4568775	4569458	684	*	684	59	365	0.534	1.23
chr8	4906617	4907098	482	*	482	47	303	0.629	0.988
chr8	12505480	12505665	186	*	186	16	93	0.5	1.377
chr8	19355960	19356120	161	*	161	15	75	0.466	1.896
chr8	20212365	20212675	311	*	311	17	140	0.45	1.083
chr8	20212820	20213584	765	*	765	45	383	0.501	0.943
chr8	20976846	20977024	179	*	179	14	97	0.542	1.066
chr8	26613856	26614147	292	*	292	21	136	0.466	1.329
chr8	26614526	26614630	105	*	105	8	49	0.467	1.429
chr8	26698761	26699189	429	*	429	40	221	0.515	1.409
chr8	27182316	27182954	639	*	639	53	368	0.576	1.001
chr8	27249663	27249786	124	*	124	12	70	0.565	1.224
chr8	29127159	29127477	319	*	319	29	165	0.517	1.359
chr8	29243634	29243934	301	*	301	21	149	0.495	1.143
chr8	32454369	32454658	290	*	290	25	161	0.555	1.151
chr8	48475728	48475924	197	*	197	13	95	0.482	1.136
chr8	49306819	49308268	1450	*	1450	114	726	0.501	1.255
chr8	52643858	52644438	581	*	581	32	265	0.456	1.061
chr9	733544	733686	143	*	143	12	74	0.517	1.254
chr9	1448391	1448567	177	*	177	17	96	0.542	1.307
chr9	1493679	1494441	763	*	763	75	442	0.579	1.172
chr9	4032215	4032669	455	*	455	45	273	0.6	1.099
chr9	5362484	5362639	156	*	158	15	91	0.576	1.145
chr9	6702487	6702855	369	*	369	26	184	0.499	1.16
chr9	9168267	9168462	196	*	196	22	127	0.648	1.069
chr9	13236059	13236466	408	*	408	31	203	0.498	1.236
chr9	23951650	23951767	118	*	118	9	68	0.576	0.948
chr9	24781794	24781948	155	*	155	8	66	0.426	1.139
chr9	29972017	29972457	441	*	441	34	210	0.476	1.388
chr9	29972030	29972443	414	*	414	31	194	0.469	1.397
chr9	29972052	29972475	424	*	424	31	198	0.467	1.368
chr9	32315519	32315873	355	*	355	20	138	0.389	1.503
chr9	38372421	38372565	145	*	145	10	72	0.497	1.141
chr9	41756688	41756803	116	*	116	7	52	0.448	1.23
chr9	49283871	49283975	105	*	105	9	44	0.419	1.957
chr9	57134325	57134615	291	*	291	20	134	0.46	1.326
chr9	57812993	57813379	387	*	387	24	168	0.434	1.319
chr9	57958512	57958954	443	*	443	31	215	0.485	1.189
chr9	57959133	57959279	147	*	147	14	68	0.463	1.786
chr10	3434865	3435194	330	*	330	36	173	0.524	1.607
chr10	6191305	6191727	423	*	423	39	211	0.499	1.511
chr10	11363423	11363499	77	*	77	9	39	0.506	1.824
chr10	15483519	15483959	441	*	441	24	205	0.465	1.007
chr10	16980862	16981339	478	*	478	40	270	0.565	1.052
chr10	20139798	20139934	137	*	137	8	57	0.416	1.35
chr10	21134223	21135264	1042	*	1042	54	442	0.424	1.155
chr10	27579162	27579581	420	*	420	38	220	0.524	1.319
chr10	27579858	27579961	104	*	104	6	52	0.5	0.945
chr10	30659720	30659806	87	*	87	5	36	0.414	1.381
chr10	30659720	30659806	87	*	87	6	37	0.425	1.582
chr10	30723939	30724825	887	*	887	67	465	0.524	1.099
chr10	34111118	34112039	922	*	922	86	489	0.53	1.338
chr10	34111118	34112039	922	*	922	86	489	0.53	1.338
chr10	34111118	34112039	922	*	922	86	489	0.53	1.338
chr10	34111135	34112074	940	*	940	86	501	0.533	1.301
chr10	36025980	36026213	234	*	234	18	113	0.483	1.328
chr10	40604508	40604635	128	*	128	10	69	0.539	1.185
chr10	43451922	43452244	323	*	323	18	157	0.486	0.961
chr10	43451949	43452237	289	*	289	16	137	0.474	1.009
chr10	43739830	43740119	290	*	290	33	175	0.603	1.253
chr10	43884706	43884865	160	*	160	8	70	0.438	1.045
chr10	45163931	45164185	255	*	255	22	135	0.529	1.247
chr10	45299422	45299813	392	*	392	37	224	0.571	1.177
chr11	484072	484474	403	*	403	41	229	0.568	1.302
chr11	1516771	1516894	124	*	124	19	73	0.589	1.81
chr11	2628835	2628967	133	*	133	12	71	0.534	1.287
chr11	6240908	6241204	297	*	297	35	190	0.64	1.167
chr11	12859800	12860015	216	*	216	10	93	0.431	1.008
chr11	21368688	21368797	110	*	110	14	70	0.636	1.326
chr11	26762452	26762849	398	*	398	37	253	0.636	0.925
chr11	26763007	26763218	212	*	212	17	101	0.476	1.425
chr11	29094694	29095020	327	*	327	19	151	0.462	1.09
chr11	29095212	29095323	112	*	112	7	44	0.393	1.633
chr11	29490943	29491304	362	*	362	20	173	0.478	0.979
chr11	32450961	32451180	220	*	220	21	129	0.586	1.112
chr11	38934366	38934705	340	*	340	19	159	0.468	1.044
chr11	38934366	38934715	350	*	350	21	164	0.469	1.117
chr11	43722064	43722281	218	*	218	19	119	0.546	1.171
chr12	5176256	5176539	284	*	284	19	132	0.465	1.243
chr12	5292376	5293113	738	*	738	52	348	0.472	1.268
chr12	7924763	7924930	168	*	168	12	63	0.375	2.057
chr12	7925079	7925221	143	*	143	10	75	0.524	1.026
chr12	12756078	12756246	169	*	169	20	89	0.527	1.757
chr12	19744115	19744547	433	*	433	25	189	0.436	1.214
chr12	25852678	25853372	695	*	695	41	304	0.437	1.274
chr12	26612003	26612126	124	*	124	13	67	0.54	1.493
chr12	28783605	28783807	203	*	203	10	81	0.399	1.247
chr12	38277629	38277771	143	*	143	13	80	0.559	1.224
chr13	697828	698014	187	*	187	16	111	0.594	0.978
chr13	3957871	3957990	120	*	120	8	52	0.433	1.429
chr13	3958189	3958394	206	*	206	17	120	0.583	0.986
chr13	4020894	4021201	308	*	308	24	181	0.588	0.906
chr13	10637631	10638255	625	*	625	31	281	0.45	0.997
chr13	12899743	12899886	144	*	144	16	78	0.542	1.673
chr13	13555106	13555242	137	*	137	10	71	0.518	1.098
chr13	13867109	13867613	505	*	505	53	316	0.626	1.072
chr13	18360418	18360953	536	*	536	40	286	0.534	1.06
chr13	18594826	18595023	198	*	198	17	99	0.5	1.375
chr13	22028377	22028810	434	*	434	24	188	0.433	1.179
chr13	22838894	22839102	209	*	209	22	123	0.589	1.222
chr13	23043249	23043469	221	*	221	15	121	0.548	0.907
chr13	28487285	28487498	214	*	214	19	112	0.523	1.303
chr13	30149068	30149228	161	*	161	10	73	0.453	1.214
chr13	36997537	36997730	194	*	194	16	90	0.464	1.552
chr13	45432510	45432646	137	*	137	10	70	0.511	1.122
chr13	51037869	51038318	450	*	450	23	193	0.429	1.114
chr13	51037869	51038318	450	*	450	23	193	0.429	1.114
chr13	51038500	51038718	219	*	219	19	119	0.543	1.176
chr13	51038500	51038682	183	*	183	17	101	0.552	1.221
chr13	51441000	51441123	124	*	124	9	59	0.476	1.283
chr14	7164605	7164863	259	*	259	25	142	0.548	1.291
chr14	22065058	22065406	349	*	349	19	160	0.458	1.038
chr14	22099429	22099606	178	*	178	10	82	0.461	1.06
chr14	22686864	22687506	643	*	643	45	306	0.476	1.237
chr14	31956965	31957660	696	*	696	59	384	0.552	1.114
chr14	36527391	36527593	203	*	203	15	103	0.507	1.173
chr14	49005686	49005871	186	*	186	16	90	0.484	1.518
chr14	51241802	51242020	219	*	219	15	88	0.402	1.719
chr14	51641619	51641802	184	*	184	19	93	0.505	1.687
chr14	53570697	53570857	161	*	161	16	92	0.571	1.306
chr15	1529786	1530103	318	*	318	25	150	0.472	1.42
chr15	1617273	1617682	410	*	410	27	194	0.473	1.179
chr15	1874532	1874800	269	*	269	18	120	0.446	1.345
chr15	1874545	1874801	257	*	257	16	114	0.444	1.266
chr15	1874552	1874930	379	*	379	19	163	0.43	1.084
chr15	15342456	15342702	247	*	247	28	149	0.603	1.246
chr15	16425955	16426118	164	*	164	21	100	0.61	1.386
chr15	22561565	22561872	308	*	308	28	167	0.542	1.241
chr15	27935823	27935975	153	*	153	17	85	0.556	1.45
chr15	39760744	39760935	192	*	192	14	96	0.5	1.22
chr15	44831841	44831948	108	*	108	8	54	0.5	1.192
chr15	46579918	46580142	225	*	225	16	123	0.547	0.955
chr16	3503477	3503616	140	*	140	8	62	0.443	1.176
chr16	5639694	5639965	272	*	272	21	120	0.441	1.587
chr16	5639933	5639965	33	*	258	18	114	0.442	1.431
chr16	6458099	6458460	362	*	362	27	196	0.541	1.036
chr16	11574122	11574238	117	*	117	7	61	0.521	0.881
chr16	11574401	11574593	193	*	193	17	111	0.575	1.091
chr16	12126300	12126443	144	*	144	12	89	0.618	0.875
chr16	13847253	13847517	265	*	265	25	151	0.57	1.165
chr16	13986104	13986371	268	*	268	26	150	0.56	1.277
chr16	15315141	15315595	455	*	455	39	233	0.512	1.338
chr16	26960826	26960935	110	*	110	8	50	0.455	1.494
chr16	27313266	27313404	139	*	139	9	66	0.475	1.203
chr16	27837045	27837128	84	*	84	10	41	0.488	2.059
chr16	27938604	27938850	247	*	247	17	104	0.421	1.558
chr16	28778329	28778476	148	*	148	9	67	0.453	1.2
chr16	28778667	28779092	426	*	426	27	181	0.425	1.41
chr16	30806584	30806823	240	*	240	23	145	0.604	1.069
chr16	35373173	35373625	453	*	453	27	214	0.472	1.078
chr16	36408562	36408828	267	*	267	17	127	0.476	1.129
chr16	37065082	37065537	456	*	456	23	183	0.401	1.269
chr16	38056071	38056334	264	*	264	15	135	0.511	0.948
chr16	38154043	38154190	148	*	148	7	69	0.466	0.872
chr16	38358818	38358977	160	*	160	17	104	0.65	1.006
chr16	38358818	38358999	182	*	182	18	116	0.637	0.974
chr16	38359138	38359424	287	*	287	18	124	0.432	1.345
chr16	38359150	38359424	275	*	275	17	121	0.44	1.279
chr16	40783709	40783812	104	*	104	8	55	0.529	1.13
chr16	40784190	40784280	91	*	91	8	44	0.484	1.517
chr16	43619789	43620090	302	*	302	21	140	0.464	1.295
chr16	43620219	43620616	398	*	398	41	232	0.583	1.214
chr16	45232033	45232521	489	*	489	47	268	0.548	1.29
chr16	45232041	45232526	486	*	486	47	266	0.547	1.3
chr16	45981674	45981789	116	*	116	9	51	0.44	1.611
chr16	48757413	48757761	349	*	349	32	192	0.55	1.22
chr16	49732593	49732955	363	*	363	32	187	0.515	1.332
chr16	54748192	54748359	168	*	168	10	80	0.476	1.067
chr16	56855942	56856104	163	*	163	13	85	0.521	1.177
chr17	2467716	2468188	473	*	473	28	210	0.444	1.201
chr17	8599532	8599666	135	*	135	8	65	0.481	1.053
chr17	12113147	12113358	212	*	212	15	102	0.481	1.224
chr17	19311085	19311233	149	*	149	8	76	0.51	0.831
chr17	21717897	21718051	155	*	155	12	76	0.49	1.431
chr17	22590199	22590825	627	*	627	40	339	0.541	0.885
chr17	25431809	25432021	213	*	213	24	137	0.643	1.103
chr17	28729327	28729710	384	*	384	32	207	0.539	1.149
chr17	28766804	28766947	144	*	144	10	67	0.465	1.283
chr17	33925226	33925426	201	*	201	17	104	0.517	1.266
chr17	38609575	38609704	130	*	130	16	76	0.585	1.457
chr17	39352005	39352669	665	*	665	53	345	0.519	1.197
chr17	45901207	45901457	251	*	251	21	140	0.558	1.076
chr17	45901661	45901762	102	*	102	7	54	0.529	0.985
chr17	53431852	53432168	317	*	317	36	195	0.615	1.224
chr17	53431852	53432168	317	*	317	36	195	0.615	1.224
chr18	4486219	4486546	328	*	328	27	151	0.46	1.554
chr18	5211508	5212101	594	*	594	39	263	0.443	1.343
chr18	5622151	5622407	257	*	257	27	138	0.537	1.483
chr18	8061290	8061604	315	*	315	31	175	0.556	1.288
chr18	10373730	10373940	211	*	211	11	88	0.417	1.199
chr18	16595979	16596631	653	*	653	41	298	0.456	1.211
chr18	22066672	22067716	1045	*	1045	74	507	0.485	1.209
chr18	33752031	33752223	193	*	193	12	87	0.451	1.224
chr18	44091434	44091826	393	*	393	34	223	0.567	1.075
chr18	44091455	44091826	372	*	372	33	211	0.567	1.103
chr18	44091480	44091815	336	*	336	30	192	0.571	1.095
chr18	44371500	44371827	328	*	328	24	158	0.482	1.296
chr18	49618816	49618991	176	*	176	15	107	0.608	0.995
chr19	181745	182093	349	*	349	34	211	0.605	1.067
chr19	2458363	2458964	602	*	602	51	357	0.593	0.964
chr19	2969926	2970288	363	*	363	27	193	0.532	1.063
chr19	3108948	3109119	172	*	172	19	100	0.581	1.309
chr19	5480450	5480659	210	*	210	13	100	0.476	1.103
chr19	5480954	5481719	766	*	766	64	437	0.57	1.027
chr19	6925458	6925710	253	*	253	23	118	0.466	1.674
chr19	6925893	6926167	275	*	275	23	139	0.505	1.334
chr19	6926338	6926509	172	*	172	11	75	0.436	1.351
chr19	7776596	7776764	169	*	169	12	86	0.509	1.099
chr19	7776909	7777166	258	*	258	22	135	0.523	1.266
chr19	7777440	7777662	223	*	223	15	100	0.448	1.347
chr19	8249578	8249937	360	*	360	31	167	0.464	1.61
chr19	9235412	9235681	270	*	270	34	172	0.637	1.243
chr19	9235814	9235942	129	*	129	12	60	0.465	1.737
chr19	9654857	9655513	657	*	657	45	333	0.507	1.078
chr19	12600197	12600409	213	*	213	14	98	0.46	1.244
chr19	19241461	19241664	204	*	204	11	90	0.441	1.122
chr19	20928918	20929108	191	*	191	18	104	0.545	1.273
chr19	22558767	22559062	296	*	296	16	127	0.429	1.222
chr19	22972970	22973245	276	*	276	27	162	0.587	1.202
chr19	28616027	28616412	386	*	386	31	219	0.567	0.998
chr19	31668481	31668729	249	*	249	14	100	0.402	1.397
chr19	31668509	31668758	250	*	250	13	96	0.384	1.411
chr19	33145626	33146499	874	*	874	71	494	0.565	1.036
chr19	35066243	35066540	298	*	298	22	151	0.507	1.156
chr19	40986381	40986556	176	*	176	16	86	0.489	1.523
chr19	44867268	44867677	410	*	410	27	192	0.468	1.202
chr19	44867439	44867535	97	*	97	9	48	0.495	1.518
chr19	46866548	46867041	494	*	494	53	269	0.545	1.467
chr19	46866549	46867064	516	*	516	58	284	0.55	1.503
chr19	47866876	47867643	768	*	768	47	355	0.462	1.151
chr19	49976615	49976856	242	*	242	24	138	0.57	1.299
chr20	2448303	2448466	164	*	164	11	77	0.47	1.219
chr20	3314993	3315146	154	*	154	16	83	0.539	1.433
chr20	3932058	3932354	297	*	297	20	129	0.434	1.435
chr20	4057592	4057726	135	*	135	7	47	0.348	1.718
chr20	4058131	4058534	404	*	404	35	237	0.587	1.027
chr20	7351287	7351606	320	*	320	19	152	0.475	1.084
chr20	15167004	15167390	387	*	387	39	253	0.654	0.947
chr20	16922326	16922545	220	*	220	18	110	0.5	1.345
chr20	17786000	17786918	919	*	919	63	457	0.497	1.114
chr20	17786006	17786918	913	*	913	64	453	0.496	1.144
chr20	17786006	17786918	913	*	913	64	453	0.496	1.144
chr20	21340886	21341074	189	*	189	18	100	0.529	1.366
chr20	22786158	22786312	155	*	155	11	75	0.484	1.214
chr20	25674753	25674867	115	*	115	10	48	0.417	1.997
chr20	25675067	25675292	226	*	226	23	110	0.487	1.719
chr20	26032155	26032401	247	*	247	14	109	0.441	1.172
chr20	26969493	26969787	295	*	295	24	140	0.475	1.445
chr20	29709350	29709704	355	*	355	29	190	0.535	1.141
chr20	33535739	33535996	258	*	258	18	114	0.442	1.451
chr20	35881974	35882238	265	*	265	15	121	0.457	1.095
chr20	37958549	37958679	131	*	131	11	56	0.427	1.847
chr20	48196058	48196173	116	*	116	13	57	0.491	1.904
chr20	50326700	50326956	257	*	257	22	133	0.518	1.287
chr20	50327086	50327331	246	*	246	16	109	0.443	1.351
chr20	51512192	51512606	415	*	415	32	219	0.528	1.12
chr20	54158808	54159515	708	*	708	102	488	0.689	1.214
chr21	4026866	4027054	189	*	189	15	98	0.519	1.193
chr21	5305298	5305586	289	*	289	18	132	0.457	1.201
chr21	5305724	5305817	94	*	94	11	51	0.543	1.606
chr21	5320062	5320347	286	*	286	29	161	0.563	1.294
chr21	7484968	7485163	196	*	196	16	87	0.444	1.658
chr21	10393685	10393796	112	*	112	8	52	0.464	1.358
chr21	10394161	10394266	106	*	106	13	59	0.557	1.584
chr21	23954369	23955008	640	*	640	39	304	0.475	1.08
chr21	24693818	24693972	155	*	155	14	95	0.613	0.963
chr21	25465255	25465440	186	*	186	11	90	0.484	1.043
chr21	26071133	26071435	303	*	303	19	139	0.459	1.202
chr21	26120370	26120918	549	*	549	35	256	0.466	1.176
chr21	28314480	28314830	351	*	351	28	167	0.476	1.41
chr21	31548664	31548963	300	*	300	19	137	0.457	1.215
chr21	34293206	34293302	97	*	97	8	44	0.454	1.607
chr21	36519604	36519856	253	*	253	16	127	0.502	1.022
chr21	39236964	39237260	297	*	297	14	129	0.434	1.017
chr21	41932902	41933393	492	*	492	53	275	0.559	1.381
chr21	44221015	44221424	410	*	410	54	274	0.668	1.194
chr22	53539	53851	313	*	313	23	179	0.572	0.899
chr22	380265	380691	427	*	427	47	239	0.56	1.414
chr22	380288	380725	438	*	438	47	236	0.539	1.485
chr22	6953704	6953810	107	*	107	10	64	0.598	1.062
chr22	11630509	11630714	206	*	206	15	99	0.481	1.264
chr22	12833025	12833175	151	*	151	14	70	0.464	1.778
chr22	16044399	16044498	100	*	100	10	56	0.56	1.276
chr22	16716294	16716553	260	*	260	21	140	0.538	1.123
chr22	17733453	17733552	100	*	100	15	65	0.65	1.437
chr22	35041569	35042399	831	*	831	85	485	0.584	1.202
chr22	35377341	35377661	321	*	321	21	150	0.467	1.206
chr22	38090667	38091317	651	*	651	52	338	0.519	1.193
chr22	39405644	39405863	220	*	220	15	113	0.514	1.04
chr22	39414421	39414543	123	*	123	12	55	0.447	1.968
chr22	40334606	40335428	823	*	823	73	507	0.616	0.935
chr22	40819268	40819457	190	*	190	20	106	0.558	1.353
chr22	40819277	40819455	179	*	179	18	98	0.547	1.342
chr22	41960248	41960436	189	*	189	15	93	0.492	1.382
chr23	2435231	2435518	288	*	288	29	172	0.597	1.133
chr23	3772337	3772686	350	*	350	36	180	0.514	1.557
chr23	24886461	24886631	171	*	171	9	72	0.421	1.188
chr23	24899014	24899287	274	*	274	18	128	0.467	1.207
chr23	25996219	25996579	361	*	361	27	175	0.485	1.326
chr23	28589914	28590034	121	*	121	14	78	0.645	1.192
